met,metName,degree,keggID,hmdbID,stringsAsFactors,compartment,met_no_compartment,met_Rid,ID
mi1p_D[n],1D-myo-inositol 1-phosphate(2-),2,C01177,HMDB02985,FALSE,[n],mi1p_D,mi1p_D.n.,HMDB0002985
mi3p_D[c],1D-myo-inositol 3-phosphate(2-),2,C04006,HMDB06814,FALSE,[c],mi3p_D,mi3p_D.c.,HMDB0006814
minohp[n],myo-inositol hexakisphosphate(12-),2,C01204,HMDB03502,FALSE,[n],minohp,minohp.n.,HMDB0003502
malttr[c],maltotriose,2,C01835,HMDB01262,FALSE,[c],malttr,malttr.c.,HMDB0001262
m5masnB2[g],(alpha-D-mannosyl)5-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein),2,,,FALSE,[g],m5masnB2,m5masnB2.g.,
m6masnA[g],(alpha-D-mannosyl)6-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein),2,,,FALSE,[g],m6masnA,m6masnA.g.,
m6masnB1[g],(alpha-D-mannosyl)6-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein),2,,,FALSE,[g],m6masnB1,m6masnB1.g.,
m7masnC[g],"(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform C (protein)",2,,,FALSE,[g],m7masnC,m7masnC.g.,
5mdr1p[c],5-Methylthio-5-deoxy-D-ribose 1-phosphate,2,C04188,HMDB00963,FALSE,[c],5mdr1p,X5mdr1p.c.,HMDB0000963
Nacasp[c],N-acetyl-L-aspartate(2-),2,C01042,HMDB00812,FALSE,[c],Nacasp,Nacasp.c.,HMDB0000812
ksi_deg7[l],"keratan sulfate I, degradation product 7",2,,,FALSE,[l],ksi_deg7,ksi_deg7.l.,
ksi_deg10[l],"keratan sulfate I, degradation product 10",2,,,FALSE,[l],ksi_deg10,ksi_deg10.l.,
ksi_deg13[l],"keratan sulfate I, degradation product 13",2,,,FALSE,[l],ksi_deg13,ksi_deg13.l.,
ksi_deg16[l],"keratan sulfate I, degradation product 16",2,,,FALSE,[l],ksi_deg16,ksi_deg16.l.,
ksi_deg19[l],"keratan sulfate I, degradation product 19",2,,,FALSE,[l],ksi_deg19,ksi_deg19.l.,
ksi_deg22[l],"keratan sulfate I, degradation product 22",2,,,FALSE,[l],ksi_deg22,ksi_deg22.l.,
ksi_deg25[l],"keratan sulfate I, degradation product 25",2,,,FALSE,[l],ksi_deg25,ksi_deg25.l.,
ksi_deg28[l],"keratan sulfate I, degradation product 28",2,,,FALSE,[l],ksi_deg28,ksi_deg28.l.,
ksi_deg31[l],"keratan sulfate I, degradation product 31",2,,,FALSE,[l],ksi_deg31,ksi_deg31.l.,
ksi_deg34[l],"keratan sulfate I, degradation product 34",2,,,FALSE,[l],ksi_deg34,ksi_deg34.l.,
cs_a_deg1[l],"chondroitin sulfate A (GalNAc4S-GlcA), degradation product 1",2,,,FALSE,[l],cs_a_deg1,cs_a_deg1.l.,
ksi_deg37[l],"keratan sulfate I, degradation product 37",2,,,FALSE,[l],ksi_deg37,ksi_deg37.l.,
ksii_core2_deg4[l],"keratan sulfate II (core 2-linked), degradation product 4",2,,,FALSE,[l],ksii_core2_deg4,ksii_core2_deg4.l.,
ksii_core2_deg7[l],"keratan sulfate II (core 2-linked), degradation product 7",2,,,FALSE,[l],ksii_core2_deg7,ksii_core2_deg7.l.,
